country,year,solar_electricity,solar_share_elec,solar_energy_per_capita,renewables_electricity,renewables_share_elec,population,gdp
Sweden,2013,0.04,0.026,9.324,82.69,54.035,9600620.0,399973749048.0
Sweden,2014,0.05,0.033,12.334,85.75,55.841,9696438.0,410604225974.0
Sweden,2015,0.1,0.062,25.059,102.5,63.272,9799483.0,429037422635.0
Sweden,2016,0.14,0.09,36.207,89.13,57.175,9923281.0,437921057919.0
Sweden,2017,0.23,0.14,57.169,95.06,57.882,10057864.0,449166531542.0
Sweden,2018,0.41,0.251,95.587,91.15,55.797,10175400.0,457925387676.0
Sweden,2019,0.68,0.404,159.653,98.94,58.746,10279120.0,467020665386.0
Sweden,2020,1.05,0.641,246.826,112.14,68.47,10353682.0,456885314424.0
Sweden,2021,1.53,0.891,356.353,115.75,67.383,10416134.0,481492421258.0
Sweden,2022,1.98,1.144,459.897,118.23,68.321,10487335.0,494214521158.0
Sweden,2023,3.11,1.873,716.116,115.25,69.407,10551493.0,
Sweden,2024,4.16,2.416,953.122,119.4,69.358,10606993.0,
Sweden,2025,4.43,2.595,,121.53,71.191,10656636.0,
United Kingdom,2000,0.0,0.0,0.047,9.91,2.628,59057333.0,1889565292321.0
United Kingdom,2001,0.0,0.0,0.093,9.54,2.479,59288095.0,1939268312671.0
United Kingdom,2002,0.0,0.0,0.138,11.12,2.872,59540764.0,1983994308619.0
United Kingdom,2003,0.0,0.0,0.137,10.69,2.685,59820385.0,2050625402735.0
United Kingdom,2004,0.0,0.0,0.18,14.14,3.59,60169964.0,2099526641365.0
United Kingdom,2005,0.01,0.003,0.355,16.93,4.25,60596107.0,2161729510824.0
United Kingdom,2006,0.01,0.003,0.482,18.1,4.556,61051093.0,2212618867772.0
United Kingdom,2007,0.01,0.003,0.605,19.68,4.96,61535859.0,2267631534502.0
United Kingdom,2008,0.02,0.005,0.723,21.94,5.641,62027303.0,2252034759561.0
United Kingdom,2009,0.02,0.005,0.84,25.24,6.699,62506222.0,2151479208521.0
United Kingdom,2010,0.04,0.01,1.665,26.18,6.852,63006482.0,2190919919855.0
United Kingdom,2011,0.24,0.065,9.94,35.2,9.566,63509285.0,2223011392593.0
United Kingdom,2012,1.35,0.371,54.551,41.24,11.334,63960488.0,2255210551431.0
United Kingdom,2013,2.01,0.561,79.848,53.21,14.852,64389386.0,2296252599482.0
United Kingdom,2014,4.05,1.198,159.031,64.51,19.081,64865914.0,2369725553442.0
United Kingdom,2015,7.53,2.222,291.678,83.36,24.599,65382107.0,2426435869267.0
United Kingdom,2016,10.41,3.069,396.862,83.01,24.474,65893359.0,2478973016876.0
United Kingdom,2017,11.46,3.388,431.668,98.89,29.238,66354473.0,2539548543933.0
United Kingdom,2018,12.67,3.796,472.094,110.14,33.0,66752473.0,2582848171416.0
United Kingdom,2019,12.42,3.796,458.014,119.74,36.596,67110958.0,2624285076706.0
United Kingdom,2020,12.55,4.044,459.972,133.63,43.065,67351860.0,2334804059780.0
United Kingdom,2021,12.13,3.94,441.461,122.49,39.782,67668788.0,2512190098029.0
United Kingdom,2022,13.34,4.11,480.699,135.06,41.611,68179315.0,2615230634906.0
United Kingdom,2023,13.88,4.745,493.054,135.67,46.378,68682965.0,
United Kingdom,2024,14.79,5.205,521.737,143.92,50.648,69138185.0,
United Kingdom,2025,19.32,6.609,,151.92,51.972,69551334.0,
United States,2000,0.49,0.013,5.117,350.93,9.23,281484126.0,12947417795437.0
United States,2001,0.54,0.014,5.581,280.06,7.513,284279634.0,13073810008320.0
United States,2002,0.55,0.014,5.741,336.34,8.749,287084335.0,13307343638671.0
United States,2003,0.53,0.014,5.739,349.18,9.025,289908091.0,13680911930765.0
United States,2004,0.58,0.015,6.462,345.14,8.733,292786248.0,14198910513593.0
United States,2005,0.55,0.014,6.808,353.04,8.749,295716666.0,14673826218839.0
United States,2006,0.51,0.013,7.379,381.16,9.418,298730208.0,15065164240312.0
United States,2007,0.61,0.015,9.652,347.91,8.398,301844223.0,15333183877566.0
United States,2008,0.86,0.021,14.129,377.11,9.181,304970325.0,15288552732632.0
United States,2009,0.89,0.023,17.689,415.56,10.548,308023452.0,14864003344421.0
United States,2010,1.21,0.029,25.225,424.48,10.318,311062785.0,15239586726210.0
United States,2011,1.82,0.045,39.085,509.74,12.467,314105075.0,15477885525000.0
United States,2012,4.33,0.107,73.447,492.32,12.184,317115349.0,15830886903539.0
United States,2013,9.04,0.223,128.15,520.38,12.831,320110752.0,16122472460312.0
United States,2014,28.92,0.706,230.077,546.83,13.35,323115377.0,16491319003554.0
United States,2015,39.03,0.956,306.057,556.49,13.626,326126496.0,16937633974582.0
United States,2016,54.87,1.342,423.012,624.91,15.288,329179423.0,17220065720000.0
United States,2017,77.28,1.907,587.421,707.19,17.452,332204657.0,17606124654726.0
United States,2018,93.36,2.222,700.172,733.17,17.45,335056492.0,18124692769570.0
United States,2019,106.89,2.57,791.207,760.76,18.295,337790069.0,18540552700117.0
United States,2020,130.72,3.233,960.499,821.4,20.316,339436156.0,18027359681343.0
United States,2021,164.42,3.958,1202.579,861.58,20.743,340161438.0,19099378164000.0
United States,2022,205.07,4.784,1490.208,958.14,22.35,341534041.0,19493170182843.0
United States,2023,238.94,5.617,1713.824,964.74,22.679,343477330.0,
United States,2024,303.75,6.918,2162.256,1056.63,24.063,345426566.0,
United States,2025,388.82,8.603,,1158.8,25.638,347275809.0,
